Strategy,Revenue
A,72705
C,46315
C,22573
D,88127
B,137058
B,138699
B,46496
A,75873
C,17467
C,44870
A,293818
A,158031
B,72572
C,69749
A,200694
D,73129
B,38911
D,74546
D,65782
C,59660
A,67809
C,6294
A,54091
A,16359
B,41967
B,59502
C,36249
D,65060
C,47965
D,79992
D,63979
C,48441
A,196958
B,140427
D,86028
B,30278
B,154287
C,14818
A,82920
C,36969
C,71731
D,70843
A,57255
B,265863
A,43779
A,102507
A,135465
B,79135
B,59147
B,196105
B,65529
D,63057
D,73108
C,92755
B,116080
B,153188
D,85622
B,129873
A,73339
B,132634
D,72001
A,80518
D,69664
B,141406
C,71328
B,218519
C,64714
C,40376
A,160691
A,45723
B,127127
D,100378
C,29031
C,45630
C,20201
D,62690
A,28374
C,41392
A,40768
A,322196
D,63705
A,79420
D,78999
D,89722
D,67196
B,145020
B,184394
B,721275
A,36989
C,48521
A,68699
D,85701
B,111873
B,283965
A,139522
C,21607
B,23351
D,77749
C,52963
D,77968
D,76917
D,73878
D,80093
C,64231
C,37336
A,147654
D,68305
C,16839
A,273403
B,283525
A,28014
A,211501
A,61449
A,93065
B,188810
A,87722
B,194984
A,152396
A,292760
D,66635
D,77369
A,117947
D,80788
B,43365
C,62474
A,31788
B,122588
D,86565
C,42720
B,36097
C,78584
C,62669
D,80867
D,63039
C,40799
C,30339
B,164165
C,64516
D,75253
C,69096
B,22065
D,76612
